Cygwin Package Information
Package                                 Version                Status
librtmp0                                2.3-2                  OK
libsasl2-devel                          2.1.26-9               OK
libsasl2_3                              2.1.26-9               OK
libschroedinger1.0_0                    1.0.11-1               OK
libSDL1.2_0                             1.2.15-3               OK
libsigsegv2                             2.10-2                 OK
libsl0                                  1.5.3-1                OK
libSM6                                  1.2.2-1                OK
libsmartcols1                           2.25.2-2               OK
libsndfile1                             1.0.25-4               OK
libspeex1                               1.2rc1-1               OK
libsqlite3-devel                        3.10.1-1               OK
libsqlite3_0                            3.10.1-1               OK
libss2                                  1.42.12-2              OK
libssh2-devel                           1.5.0-1                OK
libssh2_1                               1.5.0-1                OK
libssp0                                 4.9.3-1                OK
libstdc++6                              4.9.3-1                OK
libswresample0                          1.2.3-1                OK
libswscale2                             1.2.3-1                OK
libtasn1_6                              4.7-1                  OK
libthai0                                0.1.21-1               OK
libtheora                               1.1.1-2                OK
libtheora0                              1.1.1-2                OK
libtheoradec1                           1.1.1-2                OK
libtheoraenc1                           1.1.1-2                OK
libtiff5                                3.9.7-4                OK
libtiff6                                4.0.6-1                OK
libtwolame0                             0.3.13-1               OK
libunistring0                           0.9.3-2                OK
libunistring2                           0.9.6-1                OK
libustr1                                1.0.4-12               OK
libuuid-devel                           2.25.2-2               OK
libuuid1                                2.25.2-2               OK
libvcdinfo0                             0.7.24-3               OK
libverto1                               0.2.6-1                OK
libvo-aacenc0                           0.1.3-1                OK
libvo-amrwbenc0                         0.1.3-1                OK
libvorbis                               1.3.5-1                OK
libvorbis0                              1.3.5-1                OK
libvorbisenc2                           1.3.5-1                OK
libvpx1                                 1.3.0-2                OK
libvtv0                                 4.9.3-1                OK
libwavpack1                             4.60.1-1               OK
libwebp5                                0.4.3-1                OK
libwind0                                1.5.3-1                OK
libwrap0                                7.6-22                 OK
libX11-devel                            1.6.3-1                OK
libX11-xcb-devel                        1.6.3-1                OK
libX11-xcb1                             1.6.3-1                OK
libX11_6                                1.6.3-1                OK
libx264_136                             20130917-1             OK
libXau-devel                            1.0.8-1                OK
libXau6                                 1.0.8-1                OK
libXaw7                                 1.0.13-1               OK
libxcb-composite0                       1.11.1-1               OK
libxcb-devel                            1.11.1-1               OK
libxcb-ewmh2                            0.4.1-1                OK
libxcb-glx-devel                        1.11.1-1               OK
libxcb-glx0                             1.11.1-1               OK
libxcb-icccm4                           0.4.1-1                OK
libxcb-image0                           0.3.9-1                OK
libxcb-render0                          1.11.1-1               OK
libxcb-shape0                           1.11.1-1               OK
libxcb-shm0                             1.11.1-1               OK
libxcb-util1                            0.3.9-1                OK
libxcb1                                 1.11.1-1               OK
libXcomposite1                          0.4.3-1                OK
libXcursor1                             1.1.14-1               OK
libXdamage-devel                        1.1.4-1                OK
libXdamage1                             1.1.4-1                OK
libXdmcp-devel                          1.1.2-1                OK
libXdmcp6                               1.1.2-1                OK
libXext-devel                           1.3.3-1                OK
libXext6                                1.3.3-1                OK
libXfixes-devel                         5.0.1-1                OK
libXfixes3                              5.0.1-1                OK
libXfont1                               1.5.1-1                OK
libXft2                                 2.3.2-1                OK
libXi6                                  1.7.6-1                OK
libxine-devel                           1.2.3-1                OK
libxine2                                1.2.3-1                OK
libXinerama-devel                       1.1.3-1                OK
libXinerama1                            1.1.3-1                OK
libxkbfile1                             1.0.9-1                OK
libxml2                                 2.9.3-1                OK
libXmu6                                 1.1.2-1                OK
libXmuu1                                1.1.2-1                OK
libXpm4                                 3.5.11-1               OK
libXrandr-devel                         1.5.0-1                OK
libXrandr2                              1.5.0-1                OK
libXrender-devel                        0.9.9-1                OK
libXrender1                             0.9.9-1                OK
libXss1                                 1.2.2-1                OK
libXt6                                  1.1.5-1                OK
libzip2                                 0.11.2-2               OK
login                                   1.11-1                 OK
luit                                    20130217-1             OK
lynx                                    2.8.7-2                OK
m4                                      1.4.17-2               OK
make                                    4.1-1                  OK
man                                     2.7.4-1                OK
man-db                                  2.7.4-1                OK
mesa                                    11.0.9-1               OK
mingw64-x86_64-binutils                 2.25.0.1.23f238d-1     OK
mingw64-x86_64-bzip2                    1.0.6-4                OK
mingw64-x86_64-gcc-core                 4.9.2-2                OK
mingw64-x86_64-gcc-g++                  4.9.2-2                OK
mingw64-x86_64-headers                  4.0.4-1                OK
mingw64-x86_64-pthreads                 20100619-5             OK
mingw64-x86_64-runtime                  4.0.4-1                OK
mingw64-x86_64-windows-default-manifest 6.4-1                  OK
mingw64-x86_64-winpthreads              4.0.4-1                OK
mingw64-x86_64-xz                       5.2.1-1                OK
mingw64-x86_64-zlib                     1.2.8-4                OK
mintty                                  2.2.3-0                OK
mkfontdir                               1.0.7-1                OK
mkfontscale                             1.1.1-1                OK
nasm                                    2.10.07-1              OK
ncurses                                 6.0-2.20160123         OK
openldap                                2.4.42-1               OK
openldap-devel                          2.4.42-1               OK
openssh                                 7.1p2-1                OK
openssl                                 1.0.2f-1               OK
openssl-devel                           1.0.2f-1               OK
p11-kit                                 0.22.1-1               OK
p11-kit-trust                           0.22.1-1               OK
patch                                   2.7.4-1                OK
perl                                    5.22.1-1               OK
perl-Carp                               1.38-1                 OK
perl-Error                              0.17024-1              OK
perl-Pod-Simple                         3.32-1                 OK
perl-Term-ReadKey                       2.32-1                 OK
perl-TermReadKey                        2.33-1                 OK
perl-Unicode-Normalize                  1.25-1                 OK
perl_autorebase                         5.22.1-1               OK
perl_base                               5.22.1-1               OK
pkg-config                              0.29-1                 OK
popt                                    1.16-1                 OK
presentproto                            1.0-1                  OK
python                                  2.7.10-1               OK
